eval/mean_ep_length,train/n_updates,train/learning_rate,train/std,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,eval/success_rate,time/total_timesteps,eval/mean_reward,train/loss,train/value_loss,reward/env_0,pose_reward/env_0,success_rate/env_0,distance_reward/env_0,reward/env_1,distance_reward/env_1,success_rate/env_1,pose_reward/env_1,distance_reward/env_2,reward/env_2,success_rate/env_2,pose_reward/env_2,reward/env_3,distance_reward/env_3,success_rate/env_3,pose_reward/env_3,pose_reward/env_4,distance_reward/env_4,reward/env_4,success_rate/env_4,pose_reward/env_5,reward/env_5,success_rate/env_5,distance_reward/env_5,pose_reward/env_6,success_rate/env_6,distance_reward/env_6,reward/env_6,success_rate/env_7,reward/env_7,distance_reward/env_7,pose_reward/env_7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1934.872003147011,-19279.273783514767,0.0,-0.5219607721174484,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2194.603904676623,0.0,-0.8737241039535858,-20801.775772683417,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-16771.5420592391,1.2700449579293533,-1516.2087214977773
102.0,80,0.0003,0.9935165047645569,0.01552734375,-2.384185791015625e-07,-9.877185101807118,0.003620727,-0.0016469655703986064,0.2,0.0,144000,-1962.47167956,276066.4375,432784.4683105469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,0.0003,0.9949679374694824,0.01314697265625,-2.384185791015625e-07,-9.892907106876374,0.0032778364,-0.0013982011256302939,0.2,,,,185297.109375,325045.755078125,-18885.586887071746,-1882.4518270285464,0.0,0.6723458499195867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-21026.975368502797,-0.012236876818081692,0.0,-2233.8319912069824,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.2989182827611566,-18333.82118725424,0.0,-1784.4507828251312,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-20042.972927260937,0.655357151013775,0.0,-2072.332511694497,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2700.4525141395043,-0.06750141707285442,-23831.030093339537,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2126.7763493731627,-20343.1377484903,0.0,-0.09494204189034708,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2465.5733384794353,0.0,-1.284285500544941,-22440.055743879806,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-23125.04586213392,-0.5349132435041443,-2586.9877304454876
102.0,100,0.0003,0.9940739870071411,0.02872314453125,1.7881393432617188e-07,-9.893850660324096,0.004601123,-0.002466729904335807,0.2,0.0,168000,-2395.17716462,175275.71875,391923.71259765624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-18066.836366189928,-1742.947393735888,0.0,0.9596660375733187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
